employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
0,Michelle,Miller,preed@example.com,2021-07-17,Patent attorney,analytics,"$34,634",1474,"7699 Kenneth Lodge Apt. 060
South Stephenfort, LA 00953",Bryantshire,MH,40146,1977-03-16,Active
1,Amanda,Johnson,dbrock@example.com,2021-06-08,Air cabin crew,IT,"$82,044",1937,"PSC 9383, Box 2103
APO AE 59793",Meredithchester,OR,66947,1995-09-21,Active
2,Annette,Willis,jonathon54@example.net,2026-06-18,Retail banker,IT,"$46,074",1144,"72106 Ruben Mission Apt. 956
West Joseph, CA 54326",North Michael,NV,46281,1981-01-07,Active
3,Toni,Berry,kwolfe@example.org,2023-04-07,Advertising copywriter,HR,"$82,300",1947,"475 Mason Port Apt. 167
Lake Amy, AK 64811",Penaville,AZ,45367,1985-06-15,Active
4,Bradley,Johnston,invalid_email,2024-07-15,"Accountant, chartered public finance",analytics,"$75,348",1006,"89719 John Burg Apt. 398
Anthonyburgh, AS 84921",New Robertshire,AR,67543,2001-11-18,Active
5,Sherri,Walker,nthomas@example.net,2026-03-13,Toxicologist,Finance,"$89,753",1450,"66479 Edwards Trafficway
Justinhaven, NE 86275",South Jaclynborough,WY,49646,1998-12-29,Active
6,Christopher,Schultz,jasonallison@example.net,2023-02-21,IT sales professional,HR,"$89,308",1492,"468 William Station Apt. 146
East Daniel, NJ 63680",Davismouth,ME,15032,1978-03-27,Active
7,Matthew,Jackson,invalid_email,2021-08-07,Wellsite geologist,HR,"$90,394",1736,"499 Gail Ranch Suite 938
South Stephanie, VT 02926",Bradyberg,DC,25152,1987-11-20,Active
8,Michael,Hill,nlane@example.org,2021-11-30,Recruitment consultant,Finance,"$37,236",1525,"USS Glenn
FPO AA 96005",Lake Timothy,NC,20841,1988-01-30,Active
9,Samantha,Wright,seangomez@example.org,2027-01-26,"Geologist, engineering",HR,"$42,154",1283,"6064 Robinson Row Apt. 462
Edgarborough, LA 62585",Alexandriashire,GA,50355,1992-12-31,Active
10,Scott,Porter,james74@example.org,2023-12-27,Ecologist,analytics,"$52,904",1180,"57689 Hogan Manors Apt. 134
Kellyburgh, NM 30569",South Don,IN,66121,1981-03-18,Active
11,Bonnie,Gonzalez,hansenmichael@example.net,2025-04-19,Clinical molecular geneticist,HR,"$92,904",1527,"450 Stephens Road
West Richard, FL 16651",Georgemouth,TN,52189,2000-04-26,Active
12,Ryan,Richardson,michael20@example.net,2024-03-31,Psychiatric nurse,Finance,"$30,136",1217,"3026 Ricky Haven Apt. 419
North Cody, OK 19620",New James,KY,54954,1970-02-22,Active
13,Christine,Kelley,harrisrachel@example.net,2023-08-29,Phytotherapist,HR,"$84,447",1050,"886 Dominique Pike
Omarfort, CT 98321",New Eddieburgh,WY,92929,1979-04-20,Active
14,Kelsey,Mitchell,invalid_email,2025-08-04,"Engineer, petroleum",HR,"$68,134",1326,"819 Smith Oval
Lisaborough, FL 84382",West Peter,GU,16519,1996-01-27,Active
15,Renee,Lee,brendan79@example.org,2024-02-19,Personnel officer,HR,"$87,898",1663,"28310 Stark Greens Apt. 143
Monicafurt, ME 66579",Matthewstad,VI,87557,1968-05-30,Active
16,Carol,Moore,franklindaniel@example.org,2022-08-04,Computer games developer,Finance,"$78,273",1833,"25430 Lam Shore Suite 779
East Dwayneborough, RI 58748",Brianland,TX,51509,1986-09-19,Active
17,Jennifer,Stewart,stewartcharles@example.org,2026-06-27,"Therapist, sports",IT,"$50,524",1124,"44529 Rodriguez Circles
Kingburgh, MA 59766",Smithstad,OK,66841,2000-03-09,Active
18,Debra,George,johnsonjohn@example.com,2023-09-10,Regulatory affairs officer,Finance,"$98,535",1007,"288 Hannah Mill
West Shannon, VA 18946",Smithfurt,MD,66861,1996-10-21,Active
19,Jennifer,Johnson,invalid_email,2026-02-17,Television production assistant,analytics,"$80,817",1254,"USS Kelley
FPO AP 53569",Rebeccafort,AZ,88619,1990-03-01,Active
20,Elizabeth,Hudson,garciamarc@example.com,2021-10-22,"Teacher, music",HR,"$30,897",1676,"2820 Jon Roads
Kristineborough, NJ 32626",Anthonyport,PR,44194,2000-05-02,Active
21,Jennifer,Johnson,invalid_email,2022-12-25,Water engineer,Finance,"$44,409",1503,"0151 James Rapids Suite 220
Lake James, MN 11269",New Jasonchester,MA,16285,1980-12-30,Active
22,Andrew,Mitchell,michael21@example.com,2021-12-09,"Engineer, water",Finance,"$43,569",1812,"8358 Evans Shore
Grossborough, OH 21437",Mcclureshire,AK,39923,1979-06-15,Active
23,Jill,Martinez,ithomas@example.org,2021-09-15,Seismic interpreter,IT,"$62,819",1041,"818 Jeffrey Extension
West Nathanshire, AZ 87284",Alexburgh,IA,81968,1978-04-26,Active
24,Katie,Reed,victoriamiller@example.net,2025-06-19,Land,analytics,"$49,666",1933,"5251 Richardson Villages
Williamfort, MO 71871",Port Scottberg,TX,50198,1973-06-17,Active
25,Dawn,Thomas,sancheztamara@example.net,2025-07-25,Occupational psychologist,HR,"$54,047",1939,"0660 Maria Glen
Rochaborough, LA 25203",North Valerie,OH,87439,1979-06-15,Active
